month,platform,spend,impressions,clicks,conversions,revenue_attributed,cpc,cpa,roas
2024-01,Google Ads,2676.14,303594,13271,500,43063.16,0.2,5.35,16.09
2024-01,Facebook Ads,1971.43,338022,7163,333,15950.86,0.28,5.92,8.09
2024-01,Instagram Ads,2418.95,561361,18729,748,54454.46,0.13,3.23,22.51
2024-01,TikTok Ads,1141.7,554273,6967,346,22369.23,0.16,3.3,19.59
2024-01,Email Marketing,868.82,29509,1215,58,4223.97,0.72,14.98,4.86
2024-01,Influencer,2229.89,324906,18550,672,32663.79,0.12,3.32,14.65
2024-02,Google Ads,6122.11,497660,15128,1065,110409.49,0.4,5.75,18.03
2024-02,Facebook Ads,3681.15,518814,14679,848,84633.22,0.25,4.34,22.99
2024-02,Instagram Ads,1667.58,343834,6693,427,38473.67,0.25,3.91,23.07
2024-02,TikTok Ads,943.7,322885,6717,471,37368.13,0.14,2.0,39.6
2024-02,Email Marketing,860.15,18261,811,63,6865.91,1.06,13.65,7.98
2024-02,Influencer,1902.35,196661,14807,855,91158.26,0.13,2.22,47.92
2024-03,Google Ads,7708.44,1101566,47333,3387,215294.41,0.16,2.28,27.93
2024-03,Facebook Ads,2513.96,413529,6540,254,30308.05,0.38,9.9,12.06
2024-03,Instagram Ads,2118.63,418139,13241,493,55146.65,0.16,4.3,26.03
2024-03,TikTok Ads,2936.85,1113686,19229,1518,128845.37,0.15,1.93,43.87
2024-03,Email Marketing,532.24,25622,1394,75,8860.06,0.38,7.1,16.65
2024-03,Influencer,3044.92,310912,20703,456,42953.97,0.15,6.68,14.11
2024-04,Google Ads,7846.89,639155,27881,831,96956.59,0.28,9.44,12.36
2024-04,Facebook Ads,4664.76,894426,19779,937,39426.57,0.24,4.98,8.45
2024-04,Instagram Ads,2344.92,484252,12115,691,31193.79,0.19,3.39,13.3
2024-04,TikTok Ads,2272.7,555474,8215,412,27601.49,0.28,5.52,12.14
2024-04,Email Marketing,955.87,18316,785,57,4675.54,1.22,16.77,4.89
2024-04,Influencer,5861.27,562441,27581,924,34178.08,0.21,6.34,5.83
2024-05,Google Ads,4994.33,526794,14956,1012,54138.89,0.33,4.94,10.84
2024-05,Facebook Ads,3902.42,639214,11483,882,95193.2,0.34,4.42,24.39
2024-05,Instagram Ads,2409.32,540211,21439,1534,109119.91,0.11,1.57,45.29
2024-05,TikTok Ads,2037.9,632790,15212,362,21835.26,0.13,5.63,10.71
2024-05,Email Marketing,1108.88,27599,1522,79,8046.32,0.73,14.04,7.26
2024-05,Influencer,2088.13,304073,10311,675,39625.36,0.2,3.09,18.98
2024-06,Google Ads,7036.5,896454,36590,1953,81543.06,0.19,3.6,11.59
2024-06,Facebook Ads,4786.02,706031,18625,780,79876.72,0.26,6.14,16.69
2024-06,Instagram Ads,2595.18,354096,13074,524,45563.58,0.2,4.95,17.56
2024-06,TikTok Ads,3202.0,912644,14800,1018,79914.88,0.22,3.15,24.96
2024-06,Email Marketing,942.79,18357,1008,22,1694.39,0.94,42.85,1.8
2024-06,Influencer,5428.83,769724,59427,3701,181649.73,0.09,1.47,33.46
2024-07,Google Ads,5942.08,572017,24713,987,53985.04,0.24,6.02,9.09
2024-07,Facebook Ads,5816.93,865034,13829,1025,68591.49,0.42,5.68,11.79
2024-07,Instagram Ads,4640.72,800126,13752,959,36768.09,0.34,4.84,7.92
2024-07,TikTok Ads,3322.38,1515580,36371,912,95348.39,0.09,3.64,28.7
2024-07,Email Marketing,834.24,32390,1425,95,6367.74,0.59,8.78,7.63
2024-07,Influencer,6449.46,406960,30323,1498,84700.19,0.21,4.31,13.13
2024-08,Google Ads,4024.01,465545,13730,840,45891.2,0.29,4.79,11.4
2024-08,Facebook Ads,5418.73,587723,12869,354,16769.26,0.42,15.31,3.09
2024-08,Instagram Ads,2935.6,678174,16111,745,28753.77,0.18,3.94,9.79
2024-08,TikTok Ads,2195.14,519254,10882,217,13202.46,0.2,10.12,6.01
2024-08,Email Marketing,1192.86,27374,1267,87,5926.54,0.94,13.71,4.97
2024-08,Influencer,4408.57,515060,29058,1673,111754.27,0.15,2.64,25.35
2024-09,Google Ads,7818.64,1036560,22546,1784,188990.84,0.35,4.38,24.17
2024-09,Facebook Ads,2585.43,507610,14146,471,43588.98,0.18,5.49,16.86
2024-09,Instagram Ads,1515.15,282171,10165,675,56561.19,0.15,2.24,37.33
2024-09,TikTok Ads,2120.05,663058,9314,337,36454.24,0.23,6.29,17.19
2024-09,Email Marketing,722.81,29960,812,36,2813.58,0.89,20.08,3.89
2024-09,Influencer,3246.37,222653,13102,492,57105.61,0.25,6.6,17.59
2024-10,Google Ads,6161.95,615892,17065,1283,116873.09,0.36,4.8,18.97
2024-10,Facebook Ads,5251.93,804087,11568,640,34053.52,0.45,8.21,6.48
2024-10,Instagram Ads,1838.91,277966,7574,272,16657.19,0.24,6.76,9.06
2024-10,TikTok Ads,2727.8,1187855,23296,1086,103967.94,0.12,2.51,38.11
2024-10,Email Marketing,1040.57,25380,1279,58,2620.57,0.81,17.94,2.52
2024-10,Influencer,3840.5,546315,34996,1789,201925.01,0.11,2.15,52.58
2024-11,Google Ads,9899.22,817243,18205,1229,139961.49,0.54,8.05,14.14
2024-11,Facebook Ads,8556.1,1434080,14395,963,56432.58,0.59,8.88,6.6
2024-11,Instagram Ads,5965.21,853655,28959,628,34361.79,0.21,9.5,5.76
2024-11,TikTok Ads,4303.73,1610695,25062,1155,86870.93,0.17,3.73,20.19
2024-11,Email Marketing,1841.71,24088,972,55,6200.27,1.89,33.49,3.37
2024-11,Influencer,4269.49,235145,15447,375,21202.36,0.28,11.39,4.97
2024-12,Google Ads,6324.04,660589,21577,1093,71106.59,0.29,5.79,11.24
2024-12,Facebook Ads,4828.9,695009,14964,1187,64482.93,0.32,4.07,13.35
2024-12,Instagram Ads,2953.9,532486,13661,413,37390.91,0.22,7.15,12.66
2024-12,TikTok Ads,2219.28,1043919,15552,318,13937.47,0.14,6.98,6.28
2024-12,Email Marketing,1029.27,28124,1213,87,6975.87,0.85,11.83,6.78
2024-12,Influencer,3521.84,410225,25902,1627,75390.95,0.14,2.16,21.41
2025-01,Google Ads,2419.64,246287,7644,365,25542.59,0.32,6.63,10.56
2025-01,Facebook Ads,2367.52,416899,7683,287,11865.8,0.31,8.25,5.01
2025-01,Instagram Ads,1728.09,357769,8998,495,48198.87,0.19,3.49,27.89
2025-01,TikTok Ads,1968.38,729442,16828,829,74390.88,0.12,2.37,37.79
2025-01,Email Marketing,730.59,29426,878,36,3745.83,0.83,20.29,5.13
2025-01,Influencer,4482.46,259271,12860,272,16965.03,0.35,16.48,3.78
2025-02,Google Ads,3865.38,389308,12899,273,15024.39,0.3,14.16,3.89
2025-02,Facebook Ads,3426.6,574506,13385,291,24511.8,0.26,11.78,7.15
2025-02,Instagram Ads,1209.85,268204,5850,178,19822.71,0.21,6.8,16.38
2025-02,TikTok Ads,1749.5,755271,17300,605,34578.68,0.1,2.89,19.76
2025-02,Email Marketing,724.9,34283,841,23,2632.2,0.86,31.52,3.63
2025-02,Influencer,3299.54,459041,23850,1314,145897.87,0.14,2.51,44.22
2025-03,Google Ads,4709.29,593246,20049,419,15626.52,0.23,11.24,3.32
2025-03,Facebook Ads,4232.78,519688,7437,187,19451.19,0.57,22.64,4.6
2025-03,Instagram Ads,1879.89,271949,10176,385,26118.46,0.18,4.88,13.89
2025-03,TikTok Ads,2507.12,1243607,25093,1739,74893.05,0.1,1.44,29.87
2025-03,Email Marketing,1106.72,32243,1215,65,7269.93,0.91,17.03,6.57
2025-03,Influencer,4766.51,665757,23664,737,55748.27,0.2,6.47,11.7
2025-04,Google Ads,6090.74,793655,25107,1461,113492.74,0.24,4.17,18.63
2025-04,Facebook Ads,4830.1,801899,21530,1240,102989.85,0.22,3.9,21.32
2025-04,Instagram Ads,3324.89,537804,17879,569,51919.29,0.19,5.84,15.62
2025-04,TikTok Ads,1641.2,669391,13741,929,95190.94,0.12,1.77,58.0
2025-04,Email Marketing,682.35,29295,1599,88,5435.52,0.43,7.75,7.97
2025-04,Influencer,5320.31,351288,25672,1154,118652.19,0.21,4.61,22.3
2025-05,Google Ads,7647.25,974567,48686,3109,203610.44,0.16,2.46,26.63
2025-05,Facebook Ads,2606.51,265540,4450,207,17816.9,0.59,12.59,6.84
2025-05,Instagram Ads,2046.54,489976,11843,310,20859.69,0.17,6.6,10.19
2025-05,TikTok Ads,1366.22,579593,10786,727,34666.98,0.13,1.88,25.37
2025-05,Email Marketing,749.19,25894,1280,98,6871.07,0.59,7.64,9.17
2025-05,Influencer,2073.68,278956,16107,685,48327.13,0.13,3.03,23.31
2025-06,Google Ads,6596.09,680816,29467,2261,87271.92,0.22,2.92,13.23
