order_id,customer_id,order_date,channel,payment_method,region,items_ordered,primary_category,gross_revenue,discount_pct,discount_amount,shipping_cost,product_cost,platform_fee,transaction_fee,returned,refund_amount,net_revenue,total_costs,profit
ORD-000001,C-0617,2025-06-24,Mobile App,Gift Card,Northeast,2,Electronics,261.39,0,0.0,22.28,92.3,0,7.88,No,0,261.39,122.46,138.93
ORD-000002,C-0720,2025-08-23,Website,Credit Card,Midwest,1,Beauty,24.02,0,0.0,3.98,10.75,0,1.0,No,0,24.02,15.73,8.29
ORD-000003,C-0189,2025-07-20,Website,Credit Card,Southeast,2,Toys,52.6,0,0.0,14.6,31.41,0,1.83,No,0,52.6,47.84,4.76
ORD-000004,C-0058,2025-07-17,Mobile App,Debit Card,Southeast,2,Sports,30.63,5,1.53,30.98,16.27,0,1.14,No,0,29.1,48.39,-19.29
ORD-000005,C-0580,2025-10-11,Marketplace,Credit Card,Northeast,1,Sports,11.99,25,3.0,10.3,6.88,1.35,0.56,No,0,8.99,19.09,-10.1
ORD-000006,C-0678,2024-09-24,Mobile App,Debit Card,Northeast,4,Toys,126.99,15,19.05,61.56,57.74,0,3.43,No,0,107.94,122.73,-14.79
ORD-000007,C-0484,2025-03-30,Marketplace,Credit Card,Southeast,2,Clothing,298.36,0,0.0,20.84,105.76,44.75,8.95,No,0,298.36,180.3,118.06
ORD-000008,C-0715,2025-11-11,Website,Buy Now Pay Later,Southeast,3,Sports,71.03,10,7.1,29.3,40.99,0,2.15,Yes,63.93,0.0,72.44,-72.44
ORD-000009,C-0221,2025-01-25,Website,PayPal,Midwest,1,Sports,23.98,15,3.6,20.6,13.76,0,0.89,No,0,20.38,35.25,-14.87
ORD-000010,C-0726,2025-02-03,Website,Buy Now Pay Later,Northeast,1,Food & Beverage,345.27,25,86.32,24.66,101.85,0,7.81,No,0,258.95,134.32,124.63
ORD-000011,C-0413,2024-11-29,Marketplace,Credit Card,Midwest,1,Books,26.5,5,1.32,5.5,8.06,3.78,1.03,No,0,25.18,18.37,6.81
ORD-000012,C-0759,2024-05-20,Social Commerce,Credit Card,Northeast,1,Clothing,62.7,0,0.0,7.5,20.79,5.02,2.12,No,0,62.7,35.43,27.27
ORD-000013,C-0090,2025-06-02,Social Commerce,PayPal,Midwest,3,Beauty,136.77,10,13.68,31.86,56.88,9.85,3.87,No,0,123.09,102.46,20.63
ORD-000014,C-0632,2025-12-27,Mobile App,Credit Card,West Coast,2,Sports,160.31,0,0.0,15.24,75.89,0,4.95,No,0,160.31,96.08,64.23
ORD-000015,C-0777,2024-06-21,Marketplace,Credit Card,Southeast,5,Clothing,254.7,10,25.47,59.06,106.5,34.38,6.95,No,0,229.23,206.89,22.34
ORD-000016,C-0559,2025-06-28,Website,PayPal,Midwest,3,Food & Beverage,165.86,0,0.0,28.66,52.32,0,5.11,No,0,165.86,86.09,79.77
ORD-000017,C-0608,2025-01-06,Website,Credit Card,Midwest,1,Toys,114.58,0,0.0,26.36,41.44,0,3.62,No,0,114.58,71.42,43.16
ORD-000018,C-0639,2025-02-23,Mobile App,Buy Now Pay Later,Southwest,2,Beauty,43.21,0,0.0,23.8,27.23,0,1.55,No,0,43.21,52.58,-9.37
ORD-000019,C-0600,2024-03-16,Marketplace,PayPal,Northeast,2,Books,29.95,0,0.0,33.06,13.54,4.49,1.17,No,0,29.95,52.26,-22.31
ORD-000020,C-0309,2025-07-08,Marketplace,PayPal,Northeast,1,Sports,91.38,0,0.0,23.16,56.42,13.71,2.95,No,0,91.38,96.24,-4.86
ORD-000021,C-0392,2025-01-15,Website,Gift Card,Midwest,2,Beauty,56.46,0,0.0,19.88,19.09,0,1.94,No,0,56.46,40.91,15.55
ORD-000022,C-0208,2025-01-14,Social Commerce,Credit Card,West Coast,1,Sports,77.62,0,0.0,22.84,33.1,6.21,2.55,No,0,77.62,64.7,12.92
ORD-000023,C-0162,2025-12-03,Website,Credit Card,Southwest,1,Electronics,192.38,0,0.0,10.06,72.59,0,5.88,Yes,192.38,0.0,88.53,-88.53
ORD-000024,C-0634,2025-05-31,Mobile App,Gift Card,Northeast,3,Beauty,233.9,15,35.09,36.82,87.78,0,6.07,No,0,198.81,130.67,68.14
ORD-000025,C-0334,2024-07-17,Mobile App,PayPal,West Coast,2,Sports,129.38,10,12.94,16.9,49.49,0,3.68,No,0,116.44,70.07,46.37
ORD-000026,C-0569,2025-09-12,Social Commerce,Credit Card,Midwest,2,Home & Kitchen,58.12,0,0.0,23.56,21.32,4.65,1.99,Yes,58.12,0.0,51.52,-51.52
ORD-000027,C-0095,2025-09-14,Website,Credit Card,Southwest,1,Food & Beverage,136.04,10,13.6,6.3,39.68,0,3.85,Yes,122.44,0.0,49.83,-49.83
ORD-000028,C-0085,2025-09-29,Website,Credit Card,Southwest,1,Toys,46.8,5,2.34,9.9,19.21,0,1.59,No,0,44.46,30.7,13.76
ORD-000029,C-0436,2025-08-25,Marketplace,Credit Card,Midwest,1,Toys,69.12,0,0.0,9.1,20.88,10.37,2.3,No,0,69.12,42.65,26.47
ORD-000030,C-0053,2025-02-04,Marketplace,Credit Card,Southeast,1,Clothing,193.68,5,9.68,14.58,98.01,27.6,5.64,No,0,184.0,145.83,38.17
ORD-000031,C-0605,2025-02-12,Marketplace,Gift Card,Midwest,2,Home & Kitchen,56.58,0,0.0,24.44,20.88,8.49,1.94,No,0,56.58,55.75,0.83
ORD-000032,C-0535,2024-12-26,Website,Buy Now Pay Later,Southwest,1,Home & Kitchen,66.44,5,3.32,17.88,38.92,0,2.13,No,0,63.12,58.93,4.19
ORD-000033,C-0667,2025-03-29,Mobile App,Credit Card,Midwest,1,Food & Beverage,115.09,25,28.77,8.22,33.95,0,2.8,No,0,86.32,44.97,41.35
ORD-000034,C-0342,2025-07-01,Website,Buy Now Pay Later,Southwest,4,Sports,304.16,10,30.42,84.1,130.48,0,8.24,No,0,273.74,222.82,50.92
ORD-000035,C-0021,2025-06-20,Marketplace,PayPal,Southwest,1,Beauty,174.69,0,0.0,40.26,67.26,26.2,5.37,No,0,174.69,139.09,35.6
ORD-000036,C-0479,2024-08-30,Mobile App,PayPal,Southwest,4,Food & Beverage,655.67,0,0.0,86.02,244.67,0,19.31,No,0,655.67,350.0,305.67
ORD-000037,C-0711,2025-11-08,Website,Credit Card,Southeast,1,Clothing,25.84,0,0.0,14.78,9.89,0,1.05,No,0,25.84,25.72,0.12
ORD-000038,C-0678,2025-02-02,Website,Credit Card,Northeast,3,Beauty,647.14,25,161.78,51.56,245.48,0,14.38,No,0,485.36,311.42,173.94
ORD-000039,C-0150,2025-05-04,Mobile App,PayPal,Southeast,1,Clothing,50.13,5,2.51,4.22,31.64,0,1.68,No,0,47.62,37.54,10.08
ORD-000040,C-0471,2024-09-15,Social Commerce,Credit Card,Midwest,2,Books,69.55,15,10.43,21.64,32.89,4.73,2.01,No,0,59.12,61.27,-2.15
ORD-000041,C-0006,2025-07-15,Marketplace,Credit Card,Southwest,1,Electronics,24.38,10,2.44,13.9,16.19,3.29,0.94,No,0,21.94,34.32,-12.38
ORD-000042,C-0600,2025-09-01,Website,PayPal,West Coast,2,Sports,117.38,0,0.0,19.0,55.87,0,3.7,No,0,117.38,78.57,38.81
ORD-000043,C-0633,2025-10-25,Mobile App,Credit Card,Southwest,1,Toys,69.12,20,13.82,9.1,20.88,0,1.9,No,0,55.3,31.88,23.42
ORD-000044,C-0483,2025-11-23,Website,Credit Card,Northeast,2,Food & Beverage,88.35,20,17.67,30.98,33.97,0,2.35,No,0,70.68,67.3,3.38
ORD-000045,C-0746,2024-11-17,Marketplace,Credit Card,Southeast,1,Books,20.16,25,5.04,5.98,7.08,2.27,0.74,No,0,15.12,16.07,-0.95
ORD-000046,C-0204,2024-09-25,Website,Credit Card,Southwest,5,Electronics,863.29,0,0.0,102.66,341.09,0,25.34,Yes,863.29,0.0,469.09,-469.09
ORD-000047,C-0734,2025-07-23,Marketplace,PayPal,West Coast,1,Beauty,11.82,5,0.59,11.9,5.81,1.68,0.63,No,0,11.23,20.02,-8.79
ORD-000048,C-0202,2024-11-20,Marketplace,Gift Card,Midwest,1,Food & Beverage,85.06,20,17.01,11.82,36.72,10.21,2.27,No,0,68.05,61.02,7.03
ORD-000049,C-0229,2025-06-09,Marketplace,Credit Card,West Coast,2,Food & Beverage,203.21,10,20.32,29.72,64.76,27.43,5.6,No,0,182.89,127.51,55.38
ORD-000050,C-0169,2025-01-27,Social Commerce,Debit Card,West Coast,5,Home & Kitchen,294.17,15,44.13,73.0,116.48,20.0,7.55,No,0,250.04,217.03,33.01
ORD-000051,C-0550,2025-01-10,Website,Credit Card,Southwest,1,Food & Beverage,66.05,15,9.91,14.86,23.44,0,1.93,No,0,56.14,40.23,15.91
ORD-000052,C-0207,2025-11-22,Mobile App,PayPal,West Coast,2,Home & Kitchen,202.12,15,30.32,23.48,79.94,0,5.28,No,0,171.8,108.7,63.1
ORD-000053,C-0247,2025-07-01,Mobile App,PayPal,Southwest,1,Beauty,61.44,15,9.22,12.06,19.8,0,1.81,No,0,52.22,33.67,18.55
ORD-000054,C-0378,2025-07-29,Website,Buy Now Pay Later,Northeast,4,Toys,274.53,10,27.45,26.96,111.46,0,7.47,No,0,247.08,145.89,101.19
ORD-000055,C-0734,2025-08-01,Marketplace,Credit Card,Northeast,2,Electronics,374.98,5,18.75,18.84,133.53,53.43,10.63,Yes,356.23,0.0,216.43,-216.43
ORD-000056,C-0583,2024-05-20,Website,Gift Card,West Coast,3,Books,69.88,20,13.98,25.28,26.93,0,1.92,No,0,55.9,54.13,1.77
ORD-000057,C-0246,2025-07-01,Website,Credit Card,Southwest,1,Beauty,72.06,10,7.21,11.94,32.25,0,2.18,No,0,64.85,46.37,18.48
ORD-000058,C-0282,2025-06-03,Mobile App,PayPal,Midwest,1,Books,3.49,0,0.0,10.38,2.17,0,0.4,Yes,3.49,0.0,12.95,-12.95
ORD-000059,C-0123,2024-10-08,Website,Gift Card,Midwest,2,Food & Beverage,26.95,15,4.04,20.84,16.07,0,0.96,No,0,22.91,37.87,-14.96
ORD-000060,C-0168,2024-05-16,Mobile App,PayPal,West Coast,1,Toys,90.54,20,18.11,25.56,47.98,0,2.4,No,0,72.43,75.94,-3.51
ORD-000061,C-0123,2025-11-21,Marketplace,PayPal,West Coast,2,Food & Beverage,54.47,15,8.17,23.08,21.48,6.94,1.64,No,0,46.3,53.14,-6.84
ORD-000062,C-0090,2025-04-29,Website,Credit Card,Midwest,2,Beauty,220.38,5,11.02,24.76,65.57,0,6.37,No,0,209.36,96.7,112.66
ORD-000063,C-0584,2025-05-10,Mobile App,Buy Now Pay Later,Southeast,1,Home & Kitchen,15.69,10,1.57,9.34,4.67,0,0.71,No,0,14.12,14.72,-0.6
