product_id,product_name,category,sub_category,unit_cost,selling_price,shipping_cost_per_unit,weight_lbs,supplier
SKU-0001,Headphones - Variant 1,Electronics,Headphones,29.44,56.08,13.42,12.4,Supplier A
SKU-0002,Headphones - Variant 2,Electronics,Headphones,26.92,91.57,15.5,15.0,Supplier B
SKU-0003,Headphones - Variant 3,Electronics,Headphones,15.91,43.34,9.58,7.6,Supplier C
SKU-0004,Headphones - Variant 4,Electronics,Headphones,7.13,24.31,5.74,2.8,Supplier B
SKU-0005,Headphones - Variant 5,Electronics,Headphones,43.05,135.82,5.82,2.9,Supplier C
SKU-0006,Phone Cases - Variant 1,Electronics,Phone Cases,11.54,35.03,9.98,8.1,Supplier B
SKU-0007,Phone Cases - Variant 2,Electronics,Phone Cases,21.92,34.0,13.66,12.7,Supplier E
SKU-0008,Phone Cases - Variant 3,Electronics,Phone Cases,72.59,192.38,10.06,8.2,Supplier A
SKU-0009,Chargers - Variant 1,Electronics,Chargers,60.74,193.42,4.78,1.6,Supplier D
SKU-0010,Chargers - Variant 2,Electronics,Chargers,67.05,222.97,12.94,11.8,Supplier A
SKU-0011,Chargers - Variant 3,Electronics,Chargers,25.39,68.98,14.54,13.8,Supplier A
SKU-0012,Chargers - Variant 4,Electronics,Chargers,31.36,78.79,13.5,12.5,Supplier D
SKU-0013,Smart Watches - Variant 1,Electronics,Smart Watches,21.44,51.28,12.38,11.1,Supplier D
SKU-0014,Smart Watches - Variant 2,Electronics,Smart Watches,5.96,20.67,4.3,1.0,Supplier A
SKU-0015,Smart Watches - Variant 3,Electronics,Smart Watches,60.94,182.6,8.78,6.6,Supplier C
SKU-0016,Smart Watches - Variant 4,Electronics,Smart Watches,78.92,260.5,11.82,10.4,Supplier A
SKU-0017,Speakers - Variant 1,Electronics,Speakers,66.69,185.03,5.42,2.4,Supplier E
SKU-0018,Speakers - Variant 2,Electronics,Speakers,11.89,37.71,14.46,13.7,Supplier D
SKU-0019,Speakers - Variant 3,Electronics,Speakers,48.17,73.73,9.34,7.3,Supplier A
SKU-0020,Speakers - Variant 4,Electronics,Speakers,57.57,109.6,11.58,10.1,Supplier D
SKU-0021,Speakers - Variant 5,Electronics,Speakers,13.51,29.99,9.26,7.2,Supplier B
SKU-0022,Speakers - Variant 6,Electronics,Speakers,22.95,42.25,13.58,12.6,Supplier B
SKU-0023,Cables - Variant 1,Electronics,Cables,16.19,24.38,13.9,13.0,Supplier E
SKU-0024,Cables - Variant 2,Electronics,Cables,62.72,215.16,10.46,8.7,Supplier E
SKU-0025,Cables - Variant 3,Electronics,Cables,36.3,89.42,10.78,9.1,Supplier A
SKU-0026,Cables - Variant 4,Electronics,Cables,40.36,91.68,10.06,8.2,Supplier C
SKU-0027,T-Shirts - Variant 1,Clothing,T-Shirts,31.09,44.72,9.42,7.4,Supplier A
SKU-0028,T-Shirts - Variant 2,Clothing,T-Shirts,4.58,7.77,4.7,1.5,Supplier A
SKU-0029,T-Shirts - Variant 3,Clothing,T-Shirts,19.82,56.0,12.86,11.7,Supplier B
SKU-0030,T-Shirts - Variant 4,Clothing,T-Shirts,7.36,20.57,7.02,4.4,Supplier D
SKU-0031,T-Shirts - Variant 5,Clothing,T-Shirts,20.51,63.94,8.46,6.2,Supplier D
SKU-0032,T-Shirts - Variant 6,Clothing,T-Shirts,30.21,60.28,14.3,13.5,Supplier A
SKU-0033,Jeans - Variant 1,Clothing,Jeans,13.77,24.88,7.02,4.4,Supplier C
SKU-0034,Jeans - Variant 2,Clothing,Jeans,27.4,95.89,9.34,7.3,Supplier E
SKU-0035,Jeans - Variant 3,Clothing,Jeans,16.21,40.89,15.1,14.5,Supplier C
SKU-0036,Jeans - Variant 4,Clothing,Jeans,15.73,46.68,10.3,8.5,Supplier C
SKU-0037,Jeans - Variant 5,Clothing,Jeans,32.67,64.56,4.86,1.7,Supplier B
SKU-0038,Dresses - Variant 1,Clothing,Dresses,32.81,93.89,6.14,3.3,Supplier E
SKU-0039,Dresses - Variant 2,Clothing,Dresses,23.32,62.28,10.54,8.8,Supplier E
SKU-0040,Dresses - Variant 3,Clothing,Dresses,4.69,13.66,10.62,8.9,Supplier B
SKU-0041,Dresses - Variant 4,Clothing,Dresses,12.4,21.55,15.1,14.5,Supplier A
SKU-0042,Dresses - Variant 5,Clothing,Dresses,25.02,73.51,10.54,8.8,Supplier D
SKU-0043,Jackets - Variant 1,Clothing,Jackets,31.27,63.51,7.9,5.5,Supplier E
SKU-0044,Jackets - Variant 2,Clothing,Jackets,26.84,37.86,9.02,6.9,Supplier B
SKU-0045,Jackets - Variant 3,Clothing,Jackets,19.36,59.15,9.98,8.1,Supplier A
SKU-0046,Shoes - Variant 1,Clothing,Shoes,4.14,6.07,12.94,11.8,Supplier A
SKU-0047,Shoes - Variant 2,Clothing,Shoes,32.55,89.1,6.78,4.1,Supplier E
SKU-0048,Shoes - Variant 3,Clothing,Shoes,33.04,90.19,13.42,12.4,Supplier E
SKU-0049,Shoes - Variant 4,Clothing,Shoes,31.64,50.13,4.22,0.9,Supplier D
SKU-0050,Shoes - Variant 5,Clothing,Shoes,19.86,30.79,12.38,11.1,Supplier B
SKU-0051,Shoes - Variant 6,Clothing,Shoes,20.79,62.7,7.5,5.0,Supplier D
SKU-0052,Accessories - Variant 1,Clothing,Accessories,9.89,25.84,14.78,14.1,Supplier D
SKU-0053,Accessories - Variant 2,Clothing,Accessories,26.86,86.75,12.94,11.8,Supplier D
SKU-0054,Accessories - Variant 3,Clothing,Accessories,25.59,47.2,10.94,9.3,Supplier C
SKU-0055,Accessories - Variant 4,Clothing,Accessories,23.95,50.16,15.1,14.5,Supplier D
SKU-0056,Cookware - Variant 1,Home & Kitchen,Cookware,26.65,57.08,11.26,9.7,Supplier C
SKU-0057,Cookware - Variant 2,Home & Kitchen,Cookware,19.67,36.86,5.5,2.5,Supplier B
SKU-0058,Cookware - Variant 3,Home & Kitchen,Cookware,42.07,105.44,8.94,6.8,Supplier C
SKU-0059,Cookware - Variant 4,Home & Kitchen,Cookware,26.15,74.83,4.78,1.6,Supplier E
SKU-0060,Storage - Variant 1,Home & Kitchen,Storage,16.12,28.43,3.74,0.3,Supplier C
SKU-0061,Storage - Variant 2,Home & Kitchen,Storage,30.37,70.07,9.9,8.0,Supplier D
SKU-0062,Storage - Variant 3,Home & Kitchen,Storage,35.49,115.01,13.18,12.1,Supplier D
SKU-0063,Decor - Variant 1,Home & Kitchen,Decor,25.22,83.78,14.22,13.4,Supplier D
SKU-0064,Decor - Variant 2,Home & Kitchen,Decor,21.25,54.48,10.94,9.3,Supplier C
SKU-0065,Decor - Variant 3,Home & Kitchen,Decor,4.14,10.97,14.86,14.2,Supplier D
SKU-0066,Decor - Variant 4,Home & Kitchen,Decor,27.03,62.92,10.38,8.6,Supplier E
SKU-0067,Decor - Variant 5,Home & Kitchen,Decor,6.6,13.82,15.18,14.6,Supplier C
SKU-0068,Bedding - Variant 1,Home & Kitchen,Bedding,19.46,33.22,8.94,6.8,Supplier B
SKU-0069,Bedding - Variant 2,Home & Kitchen,Bedding,10.78,26.25,7.18,4.6,Supplier C
